snapshot_time,event_id,commence_time,home_team,away_team,home_no_vig_prob,away_no_vig_prob,home_best_odds,away_best_odds,home_best_book,away_best_book,books
2026-08-31 18:52:11.380731+00:00,59757c299ffa7405f5f856a6f1b86c6f,2026-09-01 22:41:00+00:00,Tampa Bay Rays,New York Mets,0.5438610172335872,0.45613898276641285,-126.0,116.0,FanDuel,LowVig.ag,4
2026-08-31 18:52:11.380731+00:00,0d8e1807210d19a49240ad01d066fb7f,2026-09-01 22:41:00+00:00,Pittsburgh Pirates,San Francisco Giants,0.5808379087724859,0.4191620912275142,-145.0,132.0,LowVig.ag,FanDuel,4
2026-08-31 18:52:11.380731+00:00,cc8fcec1e4ece9bdd8fbe14c96ef1f5e,2026-09-01 22:46:00+00:00,Washington Nationals,Atlanta Braves,0.39485196896630914,0.6051480310336907,149.0,-164.0,LowVig.ag,FanDuel,4
2026-08-31 18:52:11.380731+00:00,16c1ff66c09048a0d06a0b9a90a78d7d,2026-09-01 22:46:00+00:00,Boston Red Sox,Seattle Mariners,0.5327882529617888,0.4672117470382112,-124.0,106.0,FanDuel,FanDuel,2
2026-08-31 18:52:11.380731+00:00,6bd83b91a8bb56ff6403609a135f92ba,2026-09-01 23:41:00+00:00,Chicago Cubs,Milwaukee Brewers,0.5334079286642146,0.4665920713357853,-120.0,109.0,LowVig.ag,LowVig.ag,4
2026-08-31 18:52:11.380731+00:00,ba3a4cc7ae5fe8f253de4da50e16ef96,2026-09-01 23:41:00+00:00,Minnesota Twins,Detroit Tigers,0.46486011055397874,0.5351398894460213,113.0,-116.0,LowVig.ag,FanDuel,4
2026-08-31 18:52:11.380731+00:00,2c2bb6cbfb44dc9988fabb21c5bf5cff,2026-09-01 23:41:00+00:00,Kansas City Royals,Miami Marlins,0.510607727588142,0.4893922724118581,-108.0,100.0,LowVig.ag,FanDuel,4
2026-08-31 18:52:11.380731+00:00,c2d8843514360ba23db4493a00f3a91d,2026-09-02 00:06:00+00:00,Texas Rangers,Athletics,0.6183204978117197,0.38167950218828023,-170.0,160.0,LowVig.ag,FanDuel,4
2026-08-31 18:52:11.380731+00:00,1b131c580c5da54dd5ca7bcb24d0c131,2026-09-02 01:39:00+00:00,Los Angeles Angels,New York Yankees,0.3822233724122158,0.6177766275877842,158.0,-175.0,BetOnline.ag,BetOnline.ag,5
2026-08-31 18:52:11.380731+00:00,594a3405f55139e4b9bd00aa0518f4a4,2026-09-02 01:41:00+00:00,Arizona Diamondbacks,Philadelphia Phillies,0.44795157435084987,0.5520484256491501,118.0,-130.0,LowVig.ag,LowVig.ag,5
2026-08-31 18:52:11.380731+00:00,315bf242d2edacc5912ce11b61b7de41,2026-09-02 02:11:00+00:00,Los Angeles Dodgers,St. Louis Cardinals,0.6177766275877842,0.3822233724122158,-175.0,158.0,BetOnline.ag,BetOnline.ag,5
